"CURSO;DISCIPLINA;PERIODO;PRE_REQUISITOS"
"GAUT;Equações Diferenciais Parciais e Séries E.D.P.S;4;Equações Diferenciais Ordinárias E.D.O"
"GAUT;Variáveis Complexas;4;Cálculo a Várias Variáveis"
"GAUT;Física Térmica;4;Mecânica Básica"
"GAUT;Resistência de Materiais III;4;Mecânica Geral"
"GAUT;Circuitos Elétricos I;4;Eletricidade Básica"
"GAUT;Materiais Elétricos;4;Química,Eletricidade Básica"
"GAUT;Eletrônica Digital;4;Eletricidade Básica"
"GAUT;Ciências do Ambiente;5;Química"
"GAUT;Desenho Técnico I;5;Desenho"
"GAUT;Ondas;5;Eletricidade básica,Física térmica,Equações Diferenciais Ordinárias E.D.O"
"GAUT;Fenômenos de Transporte;5;Física Térmica"
"GAUT;Circuitos Elétricos II;5;Circuitos Elétricos I"
"GAUT;Eletrônica I;5;Circuitos Elétricos I"
"GAUT;Sistemas Digitais;5;Eletrônica Digital"
"GAUT;Sinais e Sistemas;6;Equações Diferenciais Ordinárias E.D.O,Variáveis complexas"
"GAUT;Eletromagnetismo I;6;Eletricidade Básica"
"GAUT;Controles e Servomecanismos I;6;Circuitos Elétricos II"
"GAUT;Planejamento da Produção;6;Mínimo 60 créditos"
"GAUT;Eletrônica II;6;Circuitos Elétricos II,Eletrônica I"
"GAUT;Microprocessadores I;6;Sistemas Digitais"
"GAUT;Introdução à Termodinâmica;6;Física Térmica"
"GAUT;Princípios de Telecomunicações;6;Circuitos Elétricos II,Eletrônica I"
"GAUT;Processamento de Sinais I;7;Sinais e sistemas"
"GAUT;Eletromagnetismo II;7;Eletromagnetismo I"
"GAUT;Eletrônica III;7;Eletrônica II"
"GAUT;Medidas elétricas e magnéticas;7;Eletrônica I"
"GAUT;Controles e Servomecanismos II;7;Controles e Servomecanismos I"
"GAUT;Otimização;7;Controles e Servomecanismos I"
"GAUT;Microprocessadores II;7;Microprocessadores I"
"GAUT;Administração;8;"
"GAUT;Conversão de Energia I;8;Eletromagnetismo II"
"GAUT;Redes I;8;Mínimo de 110 créditos"
"GAUT;Eletrônica Industrial;8;Eletrônica III"
"GAUT;Controle digital;8;Sinais e sistemas,Controles e servomecanismos II"
"GAUT;Controle nãolinear;8;Sinais e sistemas,Controles e servomecanismos II"
"GAUT;Processos petroquímicos;8;Mínimo de 105 créditos"
"GAUT;Processamento de Sinais II;8;Processamento de Sinais I"
"GAUT;Economia;9;"
"GAUT;Projeto final I;9;Mínimo de 130 créditos"
"GAUT;Instrumentação Eletrônica;9;Eletrônica II"
"GAUT;Automação de Sistemas;9;Mínimo de 140 créditos"
"GAUT;Controle Robusto e adaptativo;9;Controle nãolinear"
"GAUT;Estágio supervisionado;10;Mínimo de 120 créditos"
"GAUT;Sistemas de Qualidade;10;Mínimo de 130 créditos"
"GAUT;Projeto final II;10;Projeto final I"
"GCIV;Cálculo a uma Variável;1;"
"GCIV;Álgebra Linear I;1;"
"GCIV;Desenho;1;"
"GCIV;Química;1;"
"GCIV;Introdução a Engenharia;1;"
"GCIV;Administração;1;"
"GCIV;Humanidades e Ciências Sociais;1;"
"GCIV;Cálculo a Várias Variáveis;2;Cálculo a uma Variável,Álgebra Linear I"
"GCIV;Álgebra Linear II;2;Álgebra Linear I"
"GCIV;Computação;2;"
"GCIV;Mecânica Básica;2;Cálculo a uma Variável,Álgebra Linear I"
"GCIV;Metodologia Científica;2;"
"GCIV;Ciências do Ambiente;2;Química"
"GCIV;Desenho Técnico;2;Desenho"
"GCIV;Sistemas e Obras de Engenharia para Cidades;2;Introdução a Engenharia"
"GCIV;Equações Diferenciais Ordinárias E.D.O;3;Cálculo a uma Variável,Álgebra Linear II"
"GCIV;Cálculo Vetorial;3;Cálculo a Várias Variáveis"
"GCIV;Cálculo Numérico;3;Computação,Álgebra Linear I,Cálculo a uma Variável"
"GCIV;Mecânica Geral;3;Mecânica Básica"
"GCIV;Eletricidade Básica;3;Cálculo a Varias Variáveis,Mecânica Básica"
"GCIV;Estatística;3;Cálculo a Varias Variáveis"
"GCIV;Fundamentos de Desenho de Projeto;3;Desenho Técnico"
"GCIV;Projeto Estruturante I;3;"
"GCIV;Equações Diferenciais Parciais e Séries E.D.P.S;4;Equações Diferenciais Ordinárias E.D.O"
"GCIV;Fundamento de Engenharia de Segurança;4;"
"GCIV;Física Térmica;4;Mecânica Básica"
"GCIV;Resistência dos Materiais I;4;Mecânica Geral"
"GCIV;Economia;4;"
